HEF Einfamilienhaushalt Klasse 5 Bayern
Auspraegung	A	B	C	D	mH	bH	mW	bW
HEF05	0	0	0	0	0	0	0	0
HEF34	1.3819663	-37.4124155	6.1723179	0.0396284	-0.0672159	1.1167138	-0.0019982	0.1355070
HEF33	1.6209544	-37.1833141	5.6727847	0.0716431	-0.0495700	0.8401015	-0.0022090	0.1074468
HEF02	0	0	0	0	0	0	0	0
HEF01	0	0	0	0	0	0	0	0
WTfakt	Mo	Di	Mi	Do	Fr	Sa	So
_	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
Stundenverteilung in %
StuetzT	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Montag
-17.5	2.98	2.95	3.00	3.08	3.21	3.80	5.87	5.25	4.94	4.74	4.65	4.36	4.22	4.21	4.15	4.34	4.72	4.81	4.72	4.68	4.60	4.24	3.47	3.01
-12.5	2.94	2.91	2.96	3.04	3.18	3.80	5.75	5.30	4.98	4.77	4.68	4.37	4.23	4.21	4.16	4.35	4.76	4.85	4.75	4.71	4.63	4.25	3.45	2.97
-7.5	2.84	2.81	2.87	2.95	3.10	3.74	6.03	5.38	5.04	4.81	4.71	4.38	4.23	4.21	4.15	4.35	4.79	4.90	4.79	4.75	4.66	4.25	3.39	2.87
-2.5	2.65	2.69	2.75	2.90	3.30	4.25	5.55	5.10	4.93	4.79	4.67	4.44	4.38	4.33	4.45	4.52	4.80	4.89	4.91	4.85	4.68	4.16	3.24	2.77
2.5	2.33	2.40	2.45	2.63	3.10	4.43	5.78	5.36	5.07	4.87	4.65	4.47	4.38	4.35	4.43	4.54	4.80	5.01	5.06	5.05	4.87	4.33	3.14	2.50
7.5	1.97	2.10	2.18	2.50	3.22	4.76	6.16	5.79	5.28	4.87	4.53	4.29	4.24	4.20	4.30	4.47	4.76	5.08	5.21	5.27	5.07	4.46	3.09	2.20
12.5	1.40	1.56	1.70	2.02	2.93	5.37	6.77	6.87	5.81	5.30	4.83	4.38	4.14	4.04	3.99	4.12	4.39	4.72	5.09	5.48	5.33	4.76	3.25	1.75
17.5	0.95	1.06	1.13	1.65	2.82	6.55	8.00	7.67	6.12	6.01	5.23	4.85	4.43	4.01	3.83	3.62	4.03	4.31	4.50	5.09	5.16	4.41	3.14	1.43
22.5	0.48	0.60	0.46	0.84	1.90	5.95	9.08	8.26	6.15	5.93	5.52	5.29	5.16	4.24	4.07	3.63	4.29	4.92	4.76	5.02	5.25	4.45	2.68	1.07
27.5	0.48	0.60	0.46	0.84	1.90	5.95	9.08	8.26	6.15	5.93	5.52	5.29	5.16	4.24	4.07	3.63	4.29	4.92	4.76	5.02	5.25	4.45	2.68	1.07
Dienstag
-17.5	2.98	2.95	3.00	3.08	3.21	3.80	5.87	5.25	4.94	4.74	4.65	4.36	4.22	4.21	4.15	4.34	4.72	4.81	4.72	4.68	4.60	4.24	3.47	3.01
-12.5	2.94	2.91	2.96	3.04	3.18	3.80	5.75	5.30	4.98	4.77	4.68	4.37	4.23	4.21	4.16	4.35	4.76	4.85	4.75	4.71	4.63	4.25	3.45	2.97
-7.5	2.84	2.81	2.87	2.95	3.10	3.74	6.03	5.38	5.04	4.81	4.71	4.38	4.23	4.21	4.15	4.35	4.79	4.90	4.79	4.75	4.66	4.25	3.39	2.87
-2.5	2.65	2.69	2.75	2.90	3.30	4.25	5.55	5.10	4.93	4.79	4.67	4.44	4.38	4.33	4.45	4.52	4.80	4.89	4.91	4.85	4.68	4.16	3.24	2.77
2.5	2.33	2.40	2.45	2.63	3.10	4.43	5.78	5.36	5.07	4.87	4.65	4.47	4.38	4.35	4.43	4.54	4.80	5.01	5.06	5.05	4.87	4.33	3.14	2.50
7.5	1.97	2.10	2.18	2.50	3.22	4.76	6.16	5.79	5.28	4.87	4.53	4.29	4.24	4.20	4.30	4.47	4.76	5.08	5.21	5.27	5.07	4.46	3.09	2.20
12.5	1.40	1.56	1.70	2.02	2.93	5.37	6.77	6.87	5.81	5.30	4.83	4.38	4.14	4.04	3.99	4.12	4.39	4.72	5.09	5.48	5.33	4.76	3.25	1.75
17.5	0.95	1.06	1.13	1.65	2.82	6.55	8.00	7.67	6.12	6.01	5.23	4.85	4.43	4.01	3.83	3.62	4.03	4.31	4.50	5.09	5.16	4.41	3.14	1.43
22.5	0.48	0.60	0.46	0.84	1.90	5.95	9.08	8.26	6.15	5.93	5.52	5.29	5.16	4.24	4.07	3.63	4.29	4.92	4.76	5.02	5.25	4.45	2.68	1.07
27.5	0.48	0.60	0.46	0.84	1.90	5.95	9.08	8.26	6.15	5.93	5.52	5.29	5.16	4.24	4.07	3.63	4.29	4.92	4.76	5.02	5.25	4.45	2.68	1.07
Mittwoch
-17.5	2.98	2.95	3.00	3.08	3.21	3.80	5.87	5.25	4.94	4.74	4.65	4.36	4.22	4.21	4.15	4.34	4.72	4.81	4.72	4.68	4.60	4.24	3.47	3.01
-12.5	2.94	2.91	2.96	3.04	3.18	3.80	5.75	5.30	4.98	4.77	4.68	4.37	4.23	4.21	4.16	4.35	4.76	4.85	4.75	4.71	4.63	4.25	3.45	2.97
-7.5	2.84	2.81	2.87	2.95	3.10	3.74	6.03	5.38	5.04	4.81	4.71	4.38	4.23	4.21	4.15	4.35	4.79	4.90	4.79	4.75	4.66	4.25	3.39	2.87
-2.5	2.65	2.69	2.75	2.90	3.30	4.25	5.55	5.10	4.93	4.79	4.67	4.44	4.38	4.33	4.45	4.52	4.80	4.89	4.91	4.85	4.68	4.16	3.24	2.77
2.5	2.33	2.40	2.45	2.63	3.10	4.43	5.78	5.36	5.07	4.87	4.65	4.47	4.38	4.35	4.43	4.54	4.80	5.01	5.06	5.05	4.87	4.33	3.14	2.50
7.5	1.97	2.10	2.18	2.50	3.22	4.76	6.16	5.79	5.28	4.87	4.53	4.29	4.24	4.20	4.30	4.47	4.76	5.08	5.21	5.27	5.07	4.46	3.09	2.20
12.5	1.40	1.56	1.70	2.02	2.93	5.37	6.77	6.87	5.81	5.30	4.83	4.38	4.14	4.04	3.99	4.12	4.39	4.72	5.09	5.48	5.33	4.76	3.25	1.75
17.5	0.95	1.06	1.13	1.65	2.82	6.55	8.00	7.67	6.12	6.01	5.23	4.85	4.43	4.01	3.83	3.62	4.03	4.31	4.50	5.09	5.16	4.41	3.14	1.43
22.5	0.48	0.60	0.46	0.84	1.90	5.95	9.08	8.26	6.15	5.93	5.52	5.29	5.16	4.24	4.07	3.63	4.29	4.92	4.76	5.02	5.25	4.45	2.68	1.07
27.5	0.48	0.60	0.46	0.84	1.90	5.95	9.08	8.26	6.15	5.93	5.52	5.29	5.16	4.24	4.07	3.63	4.29	4.92	4.76	5.02	5.25	4.45	2.68	1.07
Donnerstag
-17.5	2.98	2.95	3.00	3.08	3.21	3.80	5.87	5.25	4.94	4.74	4.65	4.36	4.22	4.21	4.15	4.34	4.72	4.81	4.72	4.68	4.60	4.24	3.47	3.01
-12.5	2.94	2.91	2.96	3.04	3.18	3.80	5.75	5.30	4.98	4.77	4.68	4.37	4.23	4.21	4.16	4.35	4.76	4.85	4.75	4.71	4.63	4.25	3.45	2.97
-7.5	2.84	2.81	2.87	2.95	3.10	3.74	6.03	5.38	5.04	4.81	4.71	4.38	4.23	4.21	4.15	4.35	4.79	4.90	4.79	4.75	4.66	4.25	3.39	2.87
-2.5	2.65	2.69	2.75	2.90	3.30	4.25	5.55	5.10	4.93	4.79	4.67	4.44	4.38	4.33	4.45	4.52	4.80	4.89	4.91	4.85	4.68	4.16	3.24	2.77
2.5	2.33	2.40	2.45	2.63	3.10	4.43	5.78	5.36	5.07	4.87	4.65	4.47	4.38	4.35	4.43	4.54	4.80	5.01	5.06	5.05	4.87	4.33	3.14	2.50
7.5	1.97	2.10	2.18	2.50	3.22	4.76	6.16	5.79	5.28	4.87	4.53	4.29	4.24	4.20	4.30	4.47	4.76	5.08	5.21	5.27	5.07	4.46	3.09	2.20
12.5	1.40	1.56	1.70	2.02	2.93	5.37	6.77	6.87	5.81	5.30	4.83	4.38	4.14	4.04	3.99	4.12	4.39	4.72	5.09	5.48	5.33	4.76	3.25	1.75
17.5	0.95	1.06	1.13	1.65	2.82	6.55	8.00	7.67	6.12	6.01	5.23	4.85	4.43	4.01	3.83	3.62	4.03	4.31	4.50	5.09	5.16	4.41	3.14	1.43
22.5	0.48	0.60	0.46	0.84	1.90	5.95	9.08	8.26	6.15	5.93	5.52	5.29	5.16	4.24	4.07	3.63	4.29	4.92	4.76	5.02	5.25	4.45	2.68	1.07
27.5	0.48	0.60	0.46	0.84	1.90	5.95	9.08	8.26	6.15	5.93	5.52	5.29	5.16	4.24	4.07	3.63	4.29	4.92	4.76	5.02	5.25	4.45	2.68	1.07
Freitag
-17.5	2.98	2.95	3.00	3.08	3.21	3.80	5.87	5.25	4.94	4.74	4.65	4.36	4.22	4.21	4.15	4.34	4.72	4.81	4.72	4.68	4.60	4.24	3.47	3.01
-12.5	2.94	2.91	2.96	3.04	3.18	3.80	5.75	5.30	4.98	4.77	4.68	4.37	4.23	4.21	4.16	4.35	4.76	4.85	4.75	4.71	4.63	4.25	3.45	2.97
-7.5	2.84	2.81	2.87	2.95	3.10	3.74	6.03	5.38	5.04	4.81	4.71	4.38	4.23	4.21	4.15	4.35	4.79	4.90	4.79	4.75	4.66	4.25	3.39	2.87
-2.5	2.65	2.69	2.75	2.90	3.30	4.25	5.55	5.10	4.93	4.79	4.67	4.44	4.38	4.33	4.45	4.52	4.80	4.89	4.91	4.85	4.68	4.16	3.24	2.77
2.5	2.33	2.40	2.45	2.63	3.10	4.43	5.78	5.36	5.07	4.87	4.65	4.47	4.38	4.35	4.43	4.54	4.80	5.01	5.06	5.05	4.87	4.33	3.14	2.50
7.5	1.97	2.10	2.18	2.50	3.22	4.76	6.16	5.79	5.28	4.87	4.53	4.29	4.24	4.20	4.30	4.47	4.76	5.08	5.21	5.27	5.07	4.46	3.09	2.20
12.5	1.40	1.56	1.70	2.02	2.93	5.37	6.77	6.87	5.81	5.30	4.83	4.38	4.14	4.04	3.99	4.12	4.39	4.72	5.09	5.48	5.33	4.76	3.25	1.75
17.5	0.95	1.06	1.13	1.65	2.82	6.55	8.00	7.67	6.12	6.01	5.23	4.85	4.43	4.01	3.83	3.62	4.03	4.31	4.50	5.09	5.16	4.41	3.14	1.43
22.5	0.48	0.60	0.46	0.84	1.90	5.95	9.08	8.26	6.15	5.93	5.52	5.29	5.16	4.24	4.07	3.63	4.29	4.92	4.76	5.02	5.25	4.45	2.68	1.07
27.5	0.48	0.60	0.46	0.84	1.90	5.95	9.08	8.26	6.15	5.93	5.52	5.29	5.16	4.24	4.07	3.63	4.29	4.92	4.76	5.02	5.25	4.45	2.68	1.07
Samstag
-17.5	2.98	2.95	3.00	3.08	3.21	3.80	5.87	5.25	4.94	4.74	4.65	4.36	4.22	4.21	4.15	4.34	4.72	4.81	4.72	4.68	4.60	4.24	3.47	3.01
-12.5	2.94	2.91	2.96	3.04	3.18	3.80	5.75	5.30	4.98	4.77	4.68	4.37	4.23	4.21	4.16	4.35	4.76	4.85	4.75	4.71	4.63	4.25	3.45	2.97
