25	26.2	32	2.9	75	90	90	0.0218	334	336	336	286
32	32.6	40	3.7	90	110	110	0.0218	367	369	369	298
40	40.8	50	4.6	110	120	120	0.0218	409	411	411	320
50	51.4	63	5.8	125	140	140	0.0218	444	446	446	336
65	73.6	90	8.2	160	180	180	0.0218	495	499	499	353
80	82.5	88.9	3.2	160	180	200	0.027	536	541	548	466
100	107.1	114.3	3.6	200	225	250	0.027	617	624	634	524
125	132.5	139.7	3.6	225	250	280	0.027	701	709	723	587
150	160.3	168.3	4	250	280	315	0.027	807	822	842	670
200	210.1	219.1	4.5	315	355	400	0.027	984	1003	1034	782
250	263	273	5	400	450	500	0.027	1203	1235	1273	908
300	312.7	323.9	5.6	450	500	560	0.027	1413	1448	1507	1035
