25	26.2	32	2.9	75	90	90	0.0218	172	174	174	124
32	32.6	40	3.7	90	110	110	0.0218	200	202	202	130
40	40.8	50	4.6	110	120	120	0.0218	228	230	230	138
50	51.4	63	5.8	125	140	140	0.0218	258	260	260	150
65	73.6	90	8.2	160	180	180	0.0218	308	313	313	166
80	82.5	88.9	3.2	160	180	200	0.027	325	330	337	254
100	107.1	114.3	3.6	200	225	250	0.027	373	379	389	280
125	132.5	139.7	3.6	225	250	280	0.027	430	438	452	316
150	160.3	168.3	4	250	280	315	0.027	488	502	522	350
200	210.1	219.1	4.5	315	355	400	0.027	617	636	667	415
250	263	273	5	400	450	500	0.027	775	807	845	480
300	312.7	323.9	5.6	450	500	560	0.027	924	959	1018	546
